"Step","dual_agent_nyc_man_south_v2_mode2 - combined/total_reward","dual_agent_nyc_man_south_v2_mode2 - combined/total_reward__MIN","dual_agent_nyc_man_south_v2_mode2 - combined/total_reward__MAX"
"612","3072.064453125","3072.064453125","3072.064453125"
"645","1862.418212890625","1862.418212890625","1862.418212890625"
"651","3707.11376953125","3707.11376953125","3707.11376953125"
"662","4117.44873046875","4117.44873046875","4117.44873046875"
"675","2031.703857421875","2031.703857421875","2031.703857421875"
"685","3199.966064453125","3199.966064453125","3199.966064453125"
"702","3168.16552734375","3168.16552734375","3168.16552734375"
"751","2558.38671875","2558.38671875","2558.38671875"
"754","4788.28125","4788.28125","4788.28125"
"762","2663.6953125","2663.6953125","2663.6953125"
"788","4111.7333984375","4111.7333984375","4111.7333984375"
"801","2978.52587890625","2978.52587890625","2978.52587890625"
"806","1434.9453125","1434.9453125","1434.9453125"
"812","3403.3544921875","3403.3544921875","3403.3544921875"
"839","2395.070068359375","2395.070068359375","2395.070068359375"
"881","4444.37646484375","4444.37646484375","4444.37646484375"
"882","3306.410400390625","3306.410400390625","3306.410400390625"
"884","3722.57666015625","3722.57666015625","3722.57666015625"
"885","4134.2421875","4134.2421875","4134.2421875"
"913","2342.677001953125","2342.677001953125","2342.677001953125"
"921","2929.64208984375","2929.64208984375","2929.64208984375"
"938","1864.3426513671875","1864.3426513671875","1864.3426513671875"
"947","2763.42822265625","2763.42822265625","2763.42822265625"
"961","4297.7705078125","4297.7705078125","4297.7705078125"
"962","3789.5537109375","3789.5537109375","3789.5537109375"
"964","4943.1005859375","4943.1005859375","4943.1005859375"
"971","3154.8349609375","3154.8349609375","3154.8349609375"
"975","3099.945556640625","3099.945556640625","3099.945556640625"
"990","3788.54443359375","3788.54443359375","3788.54443359375"
"996","3107.511962890625","3107.511962890625","3107.511962890625"
"997","3140.29345703125","3140.29345703125","3140.29345703125"
"1000","4317.771484375","4317.771484375","4317.771484375"
"1010","4577.869140625","4577.869140625","4577.869140625"
"1020","3486.29443359375","3486.29443359375","3486.29443359375"
"1025","3739.11083984375","3739.11083984375","3739.11083984375"
"1049","3659.380126953125","3659.380126953125","3659.380126953125"
"1066","3968.537109375","3968.537109375","3968.537109375"
"1074","3079.73291015625","3079.73291015625","3079.73291015625"
"1084","3947.8115234375","3947.8115234375","3947.8115234375"
"1103","2882.25244140625","2882.25244140625","2882.25244140625"
"1112","4210.07421875","4210.07421875","4210.07421875"
"1128","4497.041015625","4497.041015625","4497.041015625"
"1130","3431.27099609375","3431.27099609375","3431.27099609375"
"1136","3902.25048828125","3902.25048828125","3902.25048828125"
"1163","3872.6220703125","3872.6220703125","3872.6220703125"
"1164","2321.864013671875","2321.864013671875","2321.864013671875"
"1167","4538.1591796875","4538.1591796875","4538.1591796875"
"1182","4977.3671875","4977.3671875","4977.3671875"
"1211","4263.7490234375","4263.7490234375","4263.7490234375"
