"Step","dual_nyc_man_south_paper_v2_mode1 - combined/total_reward","dual_nyc_man_south_paper_v2_mode1 - combined/total_reward__MIN","dual_nyc_man_south_paper_v2_mode1 - combined/total_reward__MAX"
"1301","8123.44189453125","8123.44189453125","8123.44189453125"
"1350","8163.3466796875","8163.3466796875","8163.3466796875"
"1351","8169.6845703125","8169.6845703125","8169.6845703125"
"1362","9228.8125","9228.8125","9228.8125"
"1366","8970.4306640625","8970.4306640625","8970.4306640625"
"1373","8118.876953125","8118.876953125","8118.876953125"
"1403","7466.7578125","7466.7578125","7466.7578125"
"1408","8558.40625","8558.40625","8558.40625"
"1428","8764.77734375","8764.77734375","8764.77734375"
"1446","7649.859375","7649.859375","7649.859375"
"1447","9101.1279296875","9101.1279296875","9101.1279296875"
"1448","8723.515625","8723.515625","8723.515625"
"1470","8055.5107421875","8055.5107421875","8055.5107421875"
"1501","8432.2880859375","8432.2880859375","8432.2880859375"
"1507","8583.640625","8583.640625","8583.640625"
"1511","7224.83203125","7224.83203125","7224.83203125"
"1531","8482.787109375","8482.787109375","8482.787109375"
"1551","9561.6826171875","9561.6826171875","9561.6826171875"
"1574","8934.4853515625","8934.4853515625","8934.4853515625"
"1576","8405.0576171875","8405.0576171875","8405.0576171875"
"1589","9249.5205078125","9249.5205078125","9249.5205078125"
"1598","8676.9326171875","8676.9326171875","8676.9326171875"
"1600","9415.412109375","9415.412109375","9415.412109375"
"1650","9318.328125","9318.328125","9318.328125"
"1686","10040.177734375","10040.177734375","10040.177734375"
"1702","9149.44140625","9149.44140625","9149.44140625"
"1718","9799.166015625","9799.166015625","9799.166015625"
